Charc,Movie
",Sam Houser,Terry Donovan,Donovan,Max Payne,Gary Dale",Rockstar
",Harish,Amrita Singh,Anil Kapoor,Basu Chatterjee,Satyen Kappu,Annu Kapoor,Amjad Khan",Chameli Ki Shaadi
",Jaishankar,Ilayaraja,D. Ramanaidu",Aaj Ka Dada
",Shivani Dutt,Arjun Rampal,Chunky Pandey,Marc Levy,Boman Irani,Sonali Kulkarni,Sophie Chaudhary",I See You
",Sunny Deol,Bobby Deol,Dharmendra,Rekha,Salman Khan",Yamla Pagla Deewana
",Kareena Kapoor,Jugal Hansraj,Yash Chopra,Aditya Chopra,Jaaved Jaffrey",Roadside Romeo
",Jean-Paul Sartre",The Waiting Room
",Anil Kapoor,Javed Jaffrey,A. K. Hangal,Amrish Puri,Subhash Ghai,Girish Karnad,Meenakshi Sheshadri",Meri Jung
",Ramji Londonwaley,Ramji,R. Madhavan,Amitabh Bachhan",Ramji Londonwale
",Raj Khanna,Prabhu Deva,Sonu Sood,Murali Sharma",Abhinetri
",Rekha,Rakesh Roshan,Raj Babbar,Sangeeta,Amol Palekar,Tatineni Rama Rao,Simple Kapadia",Jeevan Dhaara
",Durga Puja,Vyasa",Dharm
",Ronnie Screwvala,Amit Trivedi,Anupama Chopra",Luv Shuv Tey Chicken Khurana
",Paresh Rawal,Nana Patekar,Shreyas Talpade,Rajpal Yadav",Kamaal Dhamaal Malamaal
",Shashi Kapoor,Sharmila Tagore,Raj Babbar,David Abraham,Parveen Babi,Bobita",Gehri Chot: Urf - Door-Desh
",Juhi Chawla,Chiranjeevi,Kodi Rama Krishna,J. V. Somayajulu",Pratibandh
",Raveena Tandon,Nana Patekar,Rajesh Roshan,Anand Bakshi,Subhash Ghai",Ghulam-E-Mustafa
",Bhupen Hazarika,Mithun Chakraborty,Anuj Sawhney,Sushmita Sen",Chingaari
",Sunny Deol,Neha Sharma,Bobby Deol,Sangeeth Sivan",Yamla Pagla Deewana 2
",Mithun Chakraborty",Billa No. 786
",Abdul Sattar Khan,Madan Lal,Farooq Shaikh,Deepti Naval",Ek Baar Chale Aao
",Shilpa Anand,K. Ravi Shankar,Arbaaz Khan",Iqraar By Chance
",Madhuri Dixit,Antara Mali,Chandan Arora,Ram Gopal Varma,Rajpal Yadav",Main Madhuri Dixit Banna Chahti Hoon
,Roy
",Nandita Das,Anoop Soni,N. Chandra,Om Puri,Vishal Bhardwaj,Soni,Gulzar,Sudhir Mishra,Govind Nihalani",Kagaar: Life on the Edge
",Neetu Singh,Prem Chopra,Rajesh Khanna,Anand Bakshi,R.D. Burman",Maha Chor
",Neha Dhupia,Harry Baweja,Chunky Pandey,Priyanka Chopra,Sunil Shetty,Aashish Chaudhary",Qayamat: City Under Threat
",Rituparna Sengupta",Drishti
",Richard Brautigan,John Steinbeck",A Wednesday!
",Ram,Yugo Sako",The Prince of Light
",Nana Patekar,Yashpal Sharma,Revathi,Shimit Amin,Mohan Agashe,Ram Gopal Varma,Hrishitaa Bhatt",Ab Tak Chhappan 2
",John Paul,Justin Martyr,Augustus",Sunday
",Dolly Ahluwalia,Vishal Bhardwaj,Saif Ali Khan,Kareena Kapoor,Bipasha Basu,Aamir Khan,Vivek Oberoi,Sushmita Sen",Omkara
",Uttam Singh,Anand Bakshi,Paresh Rawal,Dimple Kapadia",Hum Tum Pe Marte Hain
",Akshay Kumar,Saif Ali Khan",Tu Chor Main Sipahi
",Meenakshi Sheshadri,Shatrughan Sinha,Jeetendra,Kader Khan,Bappi Lahiri,Mohan Babu,Jaya Prada,Shakti Kapoor",Hoshiyar
",Pinky Perizaad Zorabian,Swarnalatha,Shabana Azmi,Mahesh Dattani,Lillete Dubey,Rajiv Menon,Appa Rao,A. Sreekar Prasad",Morning Raga
",Max Müller",Om
",Sridevi,Balu Mahendra,Kamal Hassan",Sadma
",Raghu Romeo,Vijay Raaz,Maria Goretti,Saurabh Shukla,Rajat Kapoor,Manu Rishi",Raghu Romeo
",Akshay Kumar,Amitabh Bachchan,Shefali Shah,Vipul Shah,Priyanka Chopra,Anu Malik,Boman Irani",Waqt: The Race Against Time
",Rama,Bhima",Hanuman
