Charc,Movie
",Sanjay Kapoor,Priya Gill,Sushmita Sen,Basu Chatterjee,Simran Bagga,Jackie Shroff,Salman Khan",Sirf Tum
",Jason Lewis,Kashmira Shah,Richard Martini,Sanjay Suri",My Bollywood Bride
",Lawrence D'Souza,Jackie Shroff,Rahul Roy,Karishma Kapoor,Kumar Sanu,Alok Nath,Dimple Kapadia,Aditya Pancholi,Gulshan Grover,Aruna Irani",Sapne Sajan Ke
",Aftab Shivdasani,Lisa Ray,Ashutosh Rana,Vikram Bhatt,Apoorva Agnihotri,Irrfan Khan,Kumar Sanu,Alka Yagnik,Udit Narayan",Kasoor
",Satish Kaushik,Qateel Shifai",Gang of Ghosts
",Javed Akhtar,Zayed Khan,Dia Mirza,Tisca Chopra,Cyrus Sahukar",Love Breakups Zindagi
,Anamika
",Urmila Matondkar,Mahima Chaudhry,Paresh Rawal,Johnny Lever",Deewane
,Calapor
",Paan Singh Tomar,Tigmanshu Dhulia,Irrfan Khan,Nawazuddin Siddiqui,Mahie Gill,Vipin Sharma",Paan Singh Tomar
",Rajeev Khandelwal,Paresh Rawal",Table No. 21
",Farhan Akhtar,Arjun Rampal,Prachi Desai,Purab Kohli,Abhishek Kapoor,Javed Akhtar,Luke Kenny,Shahana Goswami",Rock On!!
",Joseph Campbell,Thomas Carlyle,Ernest Becker,Lord Raglan,Vladimir Propp,Alvin York,Karl Marx,Sophie Scholl,Chuck Yeager,Fernand Braudel",Heroine
",Jaya Prada,Vinod Mehra",Aulad
",Anita Kanwar,Amol Palekar,Vikram Gokhale,Nana Patekar,Sridevi",Thodasa Roomani Ho Jaayen
",Vishal Bhardwaj,Nimmi,William Shakespeare,Naseeruddin Shah,Masumeh Makhija",Maqbool
",Salman Khan,Boney Kapoor,Fardeen Khan,Lara Dutta,Esha Deol,Charlie Chaplin,Bipasha Basu,Sameera Reddy,Anil Kapoor,Anees Bazmee,Anu Malik,Akshay Kumar",No Entry
",J. Om Prakash,Reena Roy,Sulakshana Pandit,Sanjeev Kumar,Meryl Streep,Shoban Babu,Sridevi",Apnapan
",Sanjay Dutt,Sanjay Gupta,Manisha Koirala,Sunil Shetty,Anu Malik,Sharad Kapoor,Parmeet Sethi,Sunny Deol",Khauff
",Mithun Chakraborty,Ranjeeta Kaur,Madan Puri,Kader Khan,Deepak Bahry",Woh Jo Hasina
",Sushant Singh,Rajkumar Santoshi,Akhilendra Mishra,A. R. Rahman,K. V. Anand,Nitin Chandrakant Desai",The Legend of Bhagat Singh
",Raj Kanwar,Lara Dutta,Priyanka Chopra,Akshay Kumar,Suneel Darshan,Kumar Sanu,Manish Malhotra,Aman Verma",Andaaz
,Holiday
,Kadambari
",Ashok Kumar",Kamagni
",Sridevi",Lakshmi
",Amjad Khan,Jaswant Singh,Amitabh Bachchan,Wajahat Mirza,Anju Mahendru,Pran",Ganga Ki Saugandh
",Kumar Sanu,Jolly Mukherjee,Sapna Mukherjee,Mithun Chakraborty,Shilpa Shirodkar,Gulshan Grover,Amit Kumar,Deepa Sahi,Harry Baweja",Trinetra
",Ravi Verma,Rajesh Khanna,Deepika Chikhalia,Chunky Pandey,Sonu Walia,Sadashiv Amrapurkar",Rupaye Dus Karod
,Welcome
",Himesh Reshammiya,Sonal Sehgal,Purbi Joshi",Damadamm!
,Inteha
",Mani Ratnam,Preity Zinta,Shah Rukh Khan,Manisha Koirala,A. R. Rahman,Tigmanshu Dhulia,Simran Bagga",Dil Se..
",ACP Ravindra Varma,Murali Sharma,Shakti Kapoor,Surendra Pal,Ashutosh Rana",Abhinay Chakra
",Sunil Shetty,Akshay Khanna,Satish Kaushik,Subhash Ghai,Amol Palekar,Aftab Shivdasani,Mallika Sherawat,Ayesha Takia",Shaadi Se Pehle
",William Blackstone,Edward Coke,Mother Jones",Murder
",Anuradha Patel,Marc Zuber,Mithun Chakraborty,Rohini Hattangadi,Simi Garewal,Ken Follett",Rukhsat
",Vinod Mehra,Vidya Sinha,Shyam Ramsay,Prem Chopra",Saboot
",Harish Kumar,Raaj Kumar,Nana Patekar,Suresh Oberoi,Nawazuddin Siddiqui",Tirangaa
",Deepshikha",Yeh Dooriyan
",Rishi Kapoor,Pinchoo Kapoor,Neetu Singh,Rekha",Zinda Dil
",Mr. Kamal Haasan,Ilaiyaraaja,Singeetam Srinivasa Rao,Crazy Mohan,Srividya,P. C. Sriram,B. Lenin",Appu Raja
,Dhol
",Mithun Chakraborty,Mamta Kulkarni,Rituparna Sengupta,Soumitra Chatterjee,Puneet Issar,Rajinikanth",Krantikari
",Bipasha Basu,Amrita Arora,Dino Morea,Sanjay Dutt,Neha Dhupia,Suniel Shetty,Abhishek Bachchan,Sharat Saxena",Rakht: What If You Can See the Future
",Raghuvir Yadav,Zakir Hussain,Javed Ali,Roop Kumar Rathod,Mika Singh",Meinu Ek Ladki Chaahiye
",Rajendra Kumar,Waheeda Rehman,Chandrashekhar,Balraj Sahni,Sivaji Ganesan,C.V. Sridhar",Dharti
",Pulkit Samrat,Mandira Bedi,Atul Agnihotri,Hard Kaur",O Teri
",Sanjay Dutt,Madhuri Dixit,Jeetendra,Jaya Pradha,Saroj Khan,Kiran Kumar,Dalip Tahil",Thanedaar
",Nagesh Kukunoor,Juhi Chawla,Naseeruddin Shah,Jackie Shroff,Shah,Robert Koehler,Mohan,Gulshan Grover,Om Puri",3 Deewarein
",Smita Patil,Shreeram Lagoo,Deven Verma,Reema Lagoo",Chatpati
",Chitrangada Singh,Irrfan Khan,Sudhir Mishra,Sushant Singh,Nishat Khan,Yashpal Sharma,Aditi Rao Hydari,Saurabh Shukla,Swanand Kirkire",Yeh Saali Zindagi
,Chal Pichchur Banate Hain
",Shahrukh Khan,Arshad Warsi,Mahima Chaudhry,Parvin Dabas,Jaspal Bhatti,Himesh Reshammiya,Rohit Roy",Kuchh Meetha Ho Jaye
",Nagesh Kukunoor",Hyderabad Blues
",Aamir Khan,Amole Gupte,Prasoon Joshi,Darsheel Safary,Sukanya Verma",Taare Zameen Par
",Seema Biswas,Soha Ali Khan",Chaarfutiya Chhokare
",Santosh Sivan,Anupam Kher,Rahul Bose,Rahul Khanna,Victor Banerjee,Asoka",Tahaan
",Kangana Ranaut,Piyush Mishra,Usha Uthup,Zakir Hussain,Seema Biswas,Anupama Chopra,Tigmanshu Dhulia,Uma Thurman",Revolver Rani
",Hemant Kumar,Abhi Bhattacharya,Asha Bhosle,Satyen Bose,Kavi Pradeep,Mohammed Rafi,Syed Nazir Ali",Jagriti
",Noor Jehan,Lata Mangeshkar,Ghanshyam,Asha Bhosle",Badi Maa
",Zoya Akhtar,Farhan Akhtar,Rishi Kapoor,Javed Akhtar,Hrithik Roshan,Shah Rukh Khan,Juhi Chawla,Sanjay Kapoor,Konkana Sen Sharma,Dimple Kapadia,Isha Sharvani,Boman Irani,Ritesh Sidhwani,Kareena Kapoor,Ranbir Kapoor",Luck by Chance
",Vinod Khanna,Sanjay Dutt,Dimple Kapadia,Sangeeta Bijlani,Kimi Katkar,Mukul S. Anand,Kader Khan,Sushma Seth,Kiran Kumar",Khoon Ka Karz
",Mithun Chakraborty,Ravikant Nagaich,Bappi Lahiri,Suresh Oberoi",Surakshaa
",Anu Malik,Alisha Chinai,Danny Denzongpa,Suresh Oberoi,Alka Yagnik,Kumar Sanu",Vijaypath
",Fab Morvan,Rob Pilatus,Frank Farian,Ray Horton,Beth McCarthy-Miller,John Davis",Mili
",Amrish Puri,Madhuri Dixit,Rakesh Roshan,Shah Rukh Khan,Himani Shivpuri,Johnny Lever",Koyla
",Anu Malik",Naina
",Arshad Warsi,Madhuri Dixit,Naseeruddin Shah,Vishal Bhardwaj,Vidya Balan,Abhishek Chaubey,Salman Shahid,Anupama Chopra",Ishqiya
",Murli Sharma",Machhli Jal Ki Rani Hai
",Sanjay Dutt,Meenakshi Seshadri,Alfred Hitchcock,Raza Murad,Viju Khote,Gulshan Grover",Inaam Dus Hazaar
",Kabir Das,Javed Akhtar,Sanjeev Kumar,Salim Khan,Shashi Kapoor,Amitabh Bachchan,Rekha,Mohan",Immaan Dharam
",Farah Naaz,Rajesh Khanna,Aamir Khan,Dara Singh,Yash Chopra,Rishi Kapoor,Anil Kapoor,Mahendra Kapoor,Vinod Khanna,Shakti Samanta",Begunaah
",Rahul Roy,Kumar Sanu,Mahesh Bhatt,Mohit Suri,Deepak Tijori,Bhushan Kumar,Tom Alter,Hrithik Roshan",Aashiqui
",Ayesha Takia,Aftab Shivdasani,Rimi Sen,Ravi Walia,Anupam Kher",De Taali
",Rakesh Roshan,Hrithik Roshan,J. Om Prakash,Rajesh Roshan,Paresh Rawal,Danny Denzongpa",Bhagwaan Dada
,Amar Deep
,Mafia
",Rajesh Khanna,Usha Khanna,Prem Chopra,Padmini Kolhapure,Kamleshwar",Souten
",Sonali Bendre,Dada Kondke,Mahesh Manjrekar,Rinke Khanna,Shakti Kapoor,Reema Lagoo,Himani Shivpuri",Jis Desh Mein Ganga Rehta Hain
",Shilpa Shirodkar,Moushumi Chatterjee,Jeetendra,Lawrence D'Souza,S. Ramanathan,Vinod Mehra,Danny Denzongpa",Prateeksha
",Vikram Bhatt,Saif Ali Khan,Atul Agnihotri,Viju Khote,Dalip Tahil",Bambai Ka Babu
",Raj Khanna,Hrithik Roshan,Kareena Kapoor,Yash Chopra,Aditya Chopra,Kunal Kohli,Rani Mukerji,Uday Chopra,Kiran Kumar,Anand Bakshi",Mujhse Dosti Karoge!
",Raj Babbar,Anita Raj,Showkar Janaki,Madan Puri",Prem Geet
",David,Prophet Muhammad,Solomon,Jesus",Daud
",Vinod Khanna,Gracy Singh",Chooriyan
",Shakti Samanta,Naseeruddin Shah,Ashok Kumar,Mithun Chakraborty,Ranjeeta Kaur",Khwab
",Sunny Deol,Raveena Tandon,Anupam Kher,Ashish Vidyarthi,Sharat Saxena,Ashok Pradhan,Mamta Kulkarni,Virendra Saxena,Mithun Chakraborthy,Raj Babbar",Ziddi
,Black Mail
",Nimmi,Preity Zinta,Kundan Shah,Arjun Rampal,Alok Nath,Mahima Chaudhry,Rekha",Dil Hai Tumhaara
",Anupam Kher,Mahesh Bhatt,Rohini Hattangadi,Soni Razdan,Nilu Phule",Saaransh
",Sonam Kapoor,Rishi Kapoor,Habib Faisal,Aditya Chopra,Danny Bowes,Raghu Dixit,Anupama Chopra",Bewakoofiyaan
",Rajiv Kapoor,Shakti Kapoor,Krishnam Raju,Bappi Lahiri,Jaya Prada",Mera Saathi
",Aruna Irani,Jackie Shroff,Mithun Chakraborty,Ayesha Jhulka",Phool Aur Aag
",Sunil Shetty,Salman Khan,Kareena Kapoor,Rimi Sen,Priyadarshan,Jackie Shroff,Om Puri,Himesh Reshammiya,S. P. Venkatesh",Kyon Ki
",Mithun Chakraborty",Jodidar
",Suresh Oberoi,Shabana Azmi,Raza Murad,Thyagarajan",Gangvaa
",Shatrughan Sinha,Madhushree",Aandhiyan
",Daniel,Jesus,Aristotle,Pope John Paul II,Thomas Aquinas,Oliver Cowdery,Maimonides,Pope Gregory I,Malachi,Abraham",Angel
",Mohd Rafi,Kishore Kumar,Sunil Dutt,Rajkumar Kohli,Sanjeev Kumar,Vinod Mehra,Neetu Singh,Anuradha Paudwal,Reena Roy,Shatrughan Sinha,Rekha",Dushman
",Randhir Kapoor,Surinder Kapoor,Madan Puri,Shreeram Lagoo,Danny Denzongpa,Nirupa Roy",Ponga Pandit
",Amitabh Bachchan,Anthony Gonsalves,Manmohan Desai,Akbar Ilahabadi,Rishi Kapoor,Vinod Khanna,Anand Bakshi,Shabana Azmi,Sai Baba",Amar Akbar Anthony
",Armaan Malik,Palak Muchhal,Salman Khan,A. R. Rahman,Tulsi Kumar",Armaan
",Dharmesh Darshan,Juhi Chawla,Lata Mangeshkar,Sunny Deol,Naseeruddin Shah,Manoj Kumar,Suresh Wadkar,Anupam Kher,Chunky Pandey,Sapna Mukherjee,Kumar Sanu,Asha Bhosle,Pankaj Udhas,Majrooh Sultanpuri,Mohammad Aziz,Alka Yagnik",Lootere
",Vishal Bhardwaj,Rekha Bhardwaj,Irrfan Khan,A. Sreekar Prasad,Konkona Sen Sharma",Talvar
",Naseeruddin Shah,Supriya Pathak,Gulzar,Urmila Matondkar,Jugal Hansraj,Shabana Azmi,Saeed Jaffrey,Erich Segal,R.D. Burman",Masoom
",débutant Manish Gupta",Karma Aur Holi
",Anil Kapoor,Kajol,Anupam Kher",Hum Aapke Dil Mein Rehte Hain
",Kimi Katkar,Neil Nitin Mukesh,Shoma Anand,Shakti Kapoor",Jaisi Karni Waisi Bharni
",Ravindra Jain",Nadiya Ke Paar
",Abhishek Bachchan,Uday Chopra,Aamir Khan,Katrina Kaif,Aaliya,Tabrett Bethell,Aditya Chopra,Shah Rukh Khan,Jackie Shroff",Dhoom 3
",Mahima Chaudhry,Ajay Devgan,Prakash Jha,Chandrachur Singh,Veeru Devgan,Kajol",Dil Kya Kare
",Aditya Chopra,Baldev Raj Chopra",Kal Ki Awaz
",Vidya Balan,Sujoy Ghosh,Saswata Chatterjee,Parambrata Chatterjee,Nawazuddin Siddiqui",Kahaani
",Rajesh Khanna,D. Rama Naidu,Jaya Prada,Shatrughan Sinha,Kader Khan,Waheeda Rehman,Shreeram Lagoo,Prem Chopra,Shakti Kapoor",Maqsad
",Smita Patil,Naseeruddin Shah",Sitam
",Feroz Khan,Akira Kurosawa,Majrooh Sultanpuri,R.D. Burman,Rehana Sultan,Sergio Leone,Danny Denzongpa",Khotey Sikkay
",Shashi Kapoor,Rishi Kapoor,Rajesh Roshan,Neetu Singh,Ramesh Talwar,Yash Chopra,Deven Verma,Parikshat Sahni",Doosra Aadmi
",Neeli,Tisca Chopra,Irrfan Khan,Tillotama Shome",Qissa
",John Logie Baird,Ansel Adams,Wim Wenders,John Boorman",Black and White
",Vinod Khanna,Rekha",Sarkari Mehmaan
",Gulab Singh,Lara Dutta,Akshay Kumar,Jackie Shroff,Paresh Rawal,Tanushree Dutta,Arbaaz Khan",Bhagam Bhag
",Aaliyah,Sanjay Suri,Boman Irani,Sharman Joshi,Chitrangada Singh,Shabana Azmi,Onir",Sorry Bhai!
",Salman Khan,Arbaaz Khan,Kareena Kapoor,Aamir Khan,Anupama Chopra,Katrina Kaif",Dabangg 2
",Amitabh Bachchan,Om Prakash,Harivansh Rai Bachchan,Hrishikesh Mukherjee,Farida Jalal,Rekha,Yunus Parvez,A. K. Hangal",Alaap
",A.R. Rehman,Shahid Kapoor,Anant Mahadevan,Soha Ali Khan,Ayesha Takia,Himesh Reshammiya,Tulip Joshi,Gulshan Grover",Dil Maange More
",Vijay Bhatt,Jeetendra,Shatrughan Sinha",Banphool
",Charu Majumdar,Mao Zedong,Kanu Sanyal,Govind Narain,General Sam Manekshaw",The Naxalites
",Kabir Wilson,Sunny Leone,Pooja Bhatt,Mahesh Bhatt,Randeep Hooda,Anupama Chopra",Jism 2
",Karisma Kapoor,Shakti Kapoor,Lawrence D'Souza,Tinnu Anand",Gudia
",Raghu,Raghu Ram,Rishi Kapoor,Aditya Chopra,Anupama Chopra",Shuddh Desi Romance
",Aamir Khan,Juhi Chawla,Majrooh Sultanpuri",Tum Mere Ho
,Titli
",Akshay Kumar,Deepika Padukone,Mithun Chakraborty,Gordon Liu,Shekhar Suman,Ranvir Shorey,Kailash Kher",Chandni Chowk to China
",Aamir Khan,Amole Gupte,Prasoon Joshi,Darsheel Safary,Sukanya Verma",Zameen
",Amjad Khan,Mithun Chakraborty,Zeenat Aman,Danny Denzongpa,Ranjeet,Deepak Bahry",Hum Se Hai Zamana
",Prem Chopra",Challo Driver
",Amitabh Bachchan,Apoorva Lakhia,Arjun Rampal,Vikram Chatwal,Tony Scott",Ek Ajnabee
",Mrinal Sen,Mamata Shankar,Mithun Chakraborty",Mrigayaa
",Anand Bakshi,Rajesh Khanna,S. D. Burman,Sharmila Tagore,Shakti Samanta,Hrishikesh Mukherjee,Kishore Kumar,Lata Mangeshkar,Satyajit Ray",Amar Prem
",Salman Khan,Kabir Khan,Nawazuddin Siddiqui,Adnan Sami Khan",Bajrangi Bhaijaan
",Yash Chopra,Uday Chopra,Tanisha Mukherjee,Richa Pallod,Arjun Sablok,Ayesha Takia,Abhishek Bachchan",Neal 'n' Nikki
,Krishna
",Jaya Prada,Ram,Dasari Narayana Rao,Bappi Lahari,Jeetendra,Krishnam Raju,R. Muthuraman",Haisiyat
",Hema Malini,Rajesh Roshan,Rakesh Roshan,Rishi Kapoor,Rajesh Khanna,Randhir Kapoor,Vinod Mehra,Amjad Khan",Ginny Aur Johnny
",Suman Ranganathan,Vikram Bhatt",Fareb
",Ranbir Kapoor,Kabir,Deepika Padukone,Kalki Koechlin,Karan Johar,Ayan Mukerji,Anupama Chopra,Farooq Sheikh",Jawaani
",Sanjay Leela Bhansali,Deepika Padukone,Priyanka Chopra,Barkha Bisht Sengupta,Richa Chadda,Shahrukh Khan",Goliyon Ki Raasleela Ram-Leela
,Yeh Faasley
",Shahrukh Khan,Lilette Dubey,Manoj Joshi,Mukesh Tiwari,Vijay Raaz,Satish Shah",Always Kabhi Kabhi
",Sanjay Gupta,Sanjay Dutt,Atul Agnihotri,Shakti Kapoor,Karishma Kapoor,Amitabh Bachchan,Raveena Tandon,Kader Khan,Tanuja,John Woo,Aditya Pancholi,Gulshan Grover",Aatish
",Arshad Warsi,Anu Malik",Hero Hindustani
",Vishwa Mohan Bhatt,Deepti Naval,Rahul Khanna,Mohan,Asha Parekh",Bawandar
",S. S. Rajamouli,Sathyaraj,Anushka Shetty,Ramya Krishnan,Nassar,Sabu Cyril,Kotagiri Venkateswara Rao",Baahubali
",Juhi Chawla,Hrithik Roshan,Katrina Kaif",Main Krishna Hoon
",Sanjay Dutt,Farha Naaz,Satyen Kappu",Imaandaar
",Amitabh Bachchan,Rajesh Roshan,Parveen Babi,Vinod Mehra,Ravi Tandon,Majrooh Sultanpuri,Sanjeev Kumar,Bindiya Goswami,Prem Chopra,Kishore Kumar,Vinod Khanna,Rajinikanth,Kader Khan,Rekha",Khud-daar
",Prakash Mehra,Shashi Kapoor,Kishor Kumar,Amitabh Bachchan,Om Prakash,Bappi Lahiri,Smita Patil,Suresh Oberoi,Waheeda Rehman,Raj Babbar,Parveen Babi,Satyen Kappu,Kader Khan,Mohan Babu",Namak Halaal
,Hattrick
",Sanjay Gupta,Sonu Sood,John Abraham,Anil Kapoor,Tusshar Kapoor,Sanjay Dutt,Kangana Ranaut,Abraham",Shootout at Wadala
",Dev Anand,Kishore Kumar,Lata Mangeshkar,Waheeda Rehman,Shatrughan Sinha,Prem Chopra,Madan Puri",Prem Pujari
",Mehul Kumar,Raaj Kumar",Marte Dam Tak
",Durga Saikia,Sanjay Suri,Raveena Tandon,Sayaji Shinde",Daman: A Victim of Marital Violence
",Ibn Kathir,Muhammad",Qurbani
",Paul Wolfowitz,Sir Paul McCartney,Ben Yagoda",Girlfriend
",Kabir,Uday Chopra,Abhishek Bachchan,Esha Deol,Yash Chopra,John Abraham,Sanjay Gadhvi,Rimi Sen,Sunidhi Chauhan,Tata Young,Jesse Cook,Amr Diab",Dhoom
",V. Shantaram,Dina Pathak",Jal Bin Machhli Nritya Bin Bijli
,Humne Jeena Seekh Liya
",Hema Malini,Sonu Nigam",Sanam
",Usha Khanna,Vinod Mehra,Rekha",Hawas
",Bhaag Milkha Singh,Farhan Akhtar,Rakeysh Omprakash Mehra,Jeev Milkha Singh,Prasoon Joshi,Sonam Kapoor,Ranbir Singh,Jawaharlal Nehru",Bhaag Milkha Bhaag
",Norman J. Warren,Peter Noble,Luigi Cozzi,David Sullivan,Anthony Newley,Chesty Morgan,Pete Walker,Radley Metzger",Cinema Cinema
",Sulakshana Pandit,Jeetendra,Madan Puri",Madadgaar
",Amitabh Bachchan,Rajesh Roshan,Amjad Khan,Ajit Khan,Anand Bakshi,Lata Mangeshkar,Usha Mangeshkar,Kishore Kumar,Mohammad Rafi",Mr. Natwarlal
",Farida Jalal,Daisy Irani,Shruti Seth,Karanvir Bohra,Shoma Anand",Shararat
",Ravi Kapoor,Varsha Usgaonkar,Puneet Issar",Khal-Naaikaa
",Sharat Saxena,Mithun Chakraborty,Danny Denzongpa,Jagdeep,Deepak Bahry",Deewana Tere Naam Ka
",Deepika Padukone,Amitabh Bachchan,Irrfan Khan,Moushumi Chatterjee",Piku
",Raj Babbar,Rishi Kapoor,Madhuri Dixit,Kader Khan,Shakti Kapoor,Kamal Hassan,Jackie Shroff",Yaraana
",Joy Mukherjee,Saira Banu",Shagird
",Sara Khan,Tulip Joshi,Pooja Bhatt,M. M. Keeravani,Anupam Kher,Ashutosh Rana,Gulshan Grover",Dhokha
",Raza Murad,Divya Bharti,Aruna Irani,Kiran Kumar,Sammo Hung,Jackie Chan",Jaan Se Pyaara
",Soha Ali Khan,Shayan Munshi,Shivam Nair,Abhay Deol,Imtiaz Ali,Fyodor Dostoevsky,Raj Kapoor",Ahista Ahista
",Anil Kapoor,Sonali Bendre,Puru Raajkumar,Boney Kapoor,Satish Kaushik,Mukesh Rishi",Hamara Dil Aapke Paas Hai
",Girish Karnad,Amrish Puri,Smita Patil,Naseeruddin Shah,Shabana Azmi,Shyam Benegal,Anant Nag,Vijay Tendulkar,Satyadev Dubey,Mohan Agashe",Nishaant
",Charles II,John Law",Cash
",Satish Shah,Raghu,Bappi Lahiri,Suman Kalyanpur,Vijay Arora,Kulbhushan Kharbanda",Veerana
",Akshay Kumar,Kareena Kapoor,Suneel Darshan",Talaash: The Hunt Begins...
",Shruti Haasan,Akshay Kumar,Kareena Kapoor,Sanjay Leela Bhansali",Gabbar is Back
",Esha Deol,Tushar Kapoor,Raj Babbar,Rajesh Khanna,Smita Jaykar,Himesh Reshammiya",Kyaa Dil Ne Kahaa
",Asha Parekh,L. V. Prasad,Rekha,Rajesh Roshan,Reena Roy,Saroja Devi,Madan Puri,Vanisri",Udhar Ka Sindur
",Preity Zinta,Bhumika Chawla,Salman Khan,David Duchovny,Amrita Rao,Riya Sen,Minnie Driver,Himesh Reshammiya,A. R. Rahman",Dil Ne Jise Apna Kahaa
",Chunky Pandey,Jackie Shroff,Aarti Chhabria,Preeti Jhangiani",Ssukh
",Sachin Pilgaonkar,Tanuja",Ghar Dwaar
",A. R. Rahman,Akshaye Khanna,Moushumi Chatterjee,Priyadarshan,Anupam Kher,Preity Zinta,Paresh Rawal",Doli Saja Ke Rakhna
",Jackie Shroff,Sanjay Dutt,Farha Naaz",Jeene Do
",Urmila Matondkar,Sandeep Chowta,Sonali Kulkarni,Fardeen Khan,Ram Gopal Varma,Sonu Nigam,Suresh Oberoi,K. S. Chitra,Ravi Baswani,Asha Bhosle,Alka Yagnik,Alisha Chinai,Sukhwinder Singh",Pyaar Tune Kya Kiya
",Salman Khan,Priyanka Chopra,Akshay Kumar,David Dhawan,Sajid Nadiadwala,Sukhwinder Singh,Anees Bazmee",Mujhse Shaadi Karogi
",Ram,Sunil Shetty,Priya Gill,Archana Puran Singh,Nicolas Cage,Bridget Fonda",Bade Dilwala
",Naseeruddin Shah,Satish Shah,George Barr McCutcheon,Sunil Gavaskar,Aditya Pancholi",Maalamaal
",Farooq Shaikh,Sanjeev Kumar,Basu Chatterjee,Anita Raj",Lakhon Ki Baat
",Aditya Narayan,Murli Sharma,Shahid Kapoor,Rahul Dev",Shaapit
",Hemant Kumar",Do Ladke Dono Kadke
",Bin Laden,Reiko Takashima",Bodyguard
",Shah,Alam Lohar,Arif Lohar,Pathanay Khan",Sohni Mahiwal
",Raveena Tandon,Kader Khan,Satish Shah,Aruna Irani,Satyendra Kapoor",Anari No.1
",R. Madhavan,Nassar",Nothing But Life
",Dibakar Banerjee,Anupam Kher,Boman Irani,Ranvir Shorey,Parvin Dabas",Khosla Ka Ghosla
",Vinod Khanna,Mahesh Bhatt,Salim Khan,Meenakshi Sheshadri,Rajesh Roshan,Kumar Sanu",Jurm
",Soni,Hema Malini,Raj Babbar,Dharmendra,Rekha",Jaan Hatheli Pe
",Reena Roy,J. Om Prakash,Parveen Babi,Raj Babbar",Arpan
",Meldrick Taylor,Julio César Chávez,Muhammad Ali,George Foreman,Manny Pacquiao,Rocky Marciano,Miguel Cotto,Floyd Mayweather Jr.,Wilfredo Gómez,John L. Sullivan,Jack Dempsey,Joe Louis,Henry Armstrong,Marvin Hagler",Boxer
",Ranjeet",Bindiya Chamkegi
",Sanjeev Kumar,Leena Chandavarkar,Nirupa Roy",Manchali
",Anupama Chopra,Ekta Kapoor",Shor in the City
",Rikki Thukral,Abhishek Bachchan,Bobby Deol,Lara Dutta,Amitabh Bachchan,Preity Zinta,Shaad Ali,Yash Chopra,Aditya Chopra,Dodi Al-Fayed",Jhoom Barabar Jhoom
",Aditya Pancholi,Mani Ratnam,Deepak Anand,Amit Kumar",Yaad Rakhegi Duniya
,Stumped
",Al Pacino,Sarah Shahi",The Hangman
",Mithun Chakraborty,Bharat Bhushan",Taxi Chor
",Zara Sheikh,Amjad Bobby",Tere Pyar Mein
",Yuvan Shankar Raja,Emraan Hashmi,Kay Kay Menon,Paresh Rawal,Deepak Tijori,Abhishek Bachchan,Anupama Chopra",Raja Natwarlal
",Homer,Greg Chamitoff",Fire
",Anand Raj Anand,Virendra Pratap Singh,Sonali Bendre,Amitabh Bachchan,Ashish Vidhyarthi,Rajinikanth,Shruti Pathak,Armaan Malik,Aadesh Shrivastava",Major Saab
",Tusshar Kapoor,Ekta Kapoor,Rekha,Sangeeth Sivan,Anu Malik,Anupam kher,Neha Dhupia,Rajpal Yadav,Aftab Shivdasani,Bobby Darling,Rajendranath Zutshi",Kyaa Kool Hai Hum
",Kiran Rao,Aamir Khan,Gustavo Santaolalla,Ryuichi Sakamoto,Anupama Chopra,Begum Akhtar",Dhobi Ghat
",Kareena Kapoor,Jimmy Cliff,Akshay Kumar,Saif Ali Khan,Anil Kapoor,Joginder Tuteja,Yash Chopra,Aditya Chopra,Anil Mehta",Tashan
",Clare Short,Rupert Murdoch,Caroline Lucas,Lynne Featherstone,Harriet Harman,Brendan,Nick Clegg,Ed Vaizey,Linsey Dawn McKenzie",Page 3
",Priyanshu Chatterjee,Dia Mirza",Koi Mere Dil Mein Hai
",Sunil Dutt,Smita Patil,Reena Roy,Ashok Kumar",Dard Ka Rishta
",Chiranjeevi,Meenakshi Seshadri",Aaj Ka Goonda Raaj
",Savio Da Gama,Deepika Padukone,Homi Adajania,Dimple Kapadia,Naseeruddin Shah",Finding Fanny
",Mithun Chakraborty,Ranjeeta Kaur,Dalip Tahil",Zindagi Tere Naam
",Manisha Koirala,Salman Khan,Rahul Roy",Majhdhaar
",Sushant Singh,Tulip Joshi,Aditya Shrivastav,Piyush Mishra",Matrubhoomi: A Nation Without Women
,Call Girl
",Guru Gobind Singh,Mahesh Yogi",Guru
",Hrithik Roshan,Ashutosh Gowariker,Akbar,Saira Banu,A. R. Rahman,Sonu Sood",Jodhaa Akbar
",Aftab Shivdasani,Himesh Reshammiya,Dipannita Sharma",Koi Aap Sa
",Sikandar Kher,Gul Panag,Anupam Kher,Ashutosh Rana,Arjan Bajwa,Vikram Gokhale,Divya Dutta,Shahrukh Khan,Farah Khan,Muhammad Yunus",Summer 2007
",Amitabh Bachchan,Juhi Chawla,Shah Rukh Khan,Oscar Wilde,Rajpal Yadav,Vivek Sharma,Priyanshu Chatterjee",Bhoothnath
",B. R. Chopra,Daisy Irani,Yash Chopra,Hemanta Mukherjee,Sunil Dutt,Meena Kumari",Ek Hi Raasta
",Salman Khan,Nagma,Amit Kumar,Shakti Kapoor,Illayaraja,Anuradha Paudwal",Baaghi: A Rebel for Love
",Suresh Oberoi,Amjad Khan,Mithun Chakraborty,Ranjeeta Kaur,Vijay Arora,B. Subhash",Taqdeer Ka Badshah
,MSG-2:The Messenger
