
0,Life imprisonment,The Encounter,Murder,NaN,NaN,NaN,NaN,NaN,Ab Tak Chhappan 2
0,Military rank,Navy,United States Army,NaN,NaN,NaN,NaN,NaN,Ab Tumhare Hawale Watan Saathiyo
0,KILL,Krishna,Deva,Hinduism,Childbirth,Avatar,Islam,United Arab Emirates,Abdullah
0,KILL,Family,Hotel,Vijay Kumar,The Asylum,Killing vector field,Escape,NaN,Abhay
0,Theory of Forms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Abhinay Chakra
0,Family,Love,Mother,Dance,The Missing,Singing,Marriage,Arguments,Abhinetri
0,Love,Family,Interpersonal relationship,Marriage,Friendship,"Groom, Texas",NaN,NaN,Abodh
0,Marriage,Love,Battalion,Interpersonal relationship,Military ranks,Family,Ganges,The Police,Achanak
0,Marriage,Krishna,NaN,NaN,NaN,NaN,NaN,NaN,Adalat
0,Marriage,Love,Family,India,Romance,Hindi,Bihar,Father,Adventures of Tarzan
0,Building,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Aflatoon
0,Shruti Haasan,The X-Files,Cinema of India,Marriage,NaN,NaN,NaN,NaN,Afsana Do Dilon Ka
0,Marriage,Family,Love,Management,Planning,Interpersonal relationship,Plan,NaN,Afsana Pyaar Ka
0,Bernard Herrmann,Marriage,Black-and-white films,ARIA Charts,Wife,NaN,NaN,NaN,Aggar
0,Indian film actors,Hindi film actors,Indian actors,Elaan,Dance Dance,Agneepath,National Film Award for Best Actor,C Kkompany,Agnee
0,India,Newspaper,Crime,Sweden,Arrest,Vijay Anand,Padma Vibhushan,NaN,Agneekaal
0,Family,William Hurt,Gangster,Son,Form of the Good,Gang,KILL,Iran hostage crisis,Agneepath
0,Marriage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Agni Sakshi
0,Marriage,Hinduism,Cremation,Confession,KILL,Family,Yajna,NaN,Agni Varsha
0,Rani,Escape,The Mark of the Rani,Dimensions in Time,NaN,NaN,NaN,NaN,Agnichakra
0,Marriage,Love,NaN,NaN,NaN,NaN,NaN,NaN,Ahista Ahista
0,Family,Marriage,Hinduism,Mother,Love,Adultery,Sexual intercourse,Wife,Aisa Kyon Hota Hai
0,Love,Family,Sibling,Marriage,Romance,Die,Son,Raksha Bandhan,Aisa Pyaar Kahan
0,Natural environment,Nature,Family,Environment,Marriage,Husband,Environmentalism,Ecology,Aisa Yeh Jahaan
0,Marriage,Love,Suicide,KILL,Suicide methods,Family,Love letter,Adultery,Aitbaar
0,Marriage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Aitraaz
0,Marriage,Madhuri Dixit,Engagement,Family,Juhi Chawla,Love,Arranged marriage,NaN,Aiyyaa
0,Family,Love,Interpersonal relationship,Marriage,NaN,NaN,NaN,NaN,Ajab Gazabb Love
0,Back to the Future,Indian films,NaN,NaN,NaN,NaN,NaN,NaN,Ajanabee
0,KILL,Woman,Marriage,Switzerland,Insurance,Underwriting,Directors and officers liability insurance,NaN,Ajnabee
0,Royal family,Meantime,The Climax,NaN,NaN,NaN,NaN,NaN,Ajooba
0,Marriage,Abuse,Family,Love,Emotion,Shame,Psychological abuse,Friendship,Akaash Vani
0,Playback singer,Early case assessment,Marriage,Family,NaN,NaN,NaN,NaN,Akele Hum Akele Tum
0,Marriage,Family,Wife,Husband,Love,Hinduism,Spouse,Human position,Akhiyon Se Goli Maare
0,Marriage,The Cop,The Millionaire,Love,English-language films,NaN,NaN,NaN,Aksar
0,Slum,Remainder,Lawyer,Marriage,NaN,NaN,NaN,NaN,Alaap
0,Causality,Accident,Warriors,Marriage,"Dyer, Indiana",Family,House,Anger,Alag
0,Love,Marriage,Playback singer,Singing,NaN,NaN,NaN,NaN,Alag Alag
0,Marriage,Mother,Divorce,Father,Learning,Truth,American films,Black-and-white films,All Is Well
0,KILL,Death,Harold Pinter,The Caretaker,Conjoined twins,Killing vector field,Twins,Body,Alone
0,Family,Mother,Love,Marriage,English-language films,Father,Interpersonal relationship,NaN,Aloo Chaat
0,Romeo and Juliet,Devdas,Shahrukh Khan,Salman Khan,Love,Aishwarya Rai,Romance,Bollywood,Always Kabhi Kabhi
0,The Help,Police,X-Men,American novels,NaN,NaN,NaN,NaN,Aman Ke Farishtey
0,Family,Love,NaN,NaN,NaN,NaN,NaN,NaN,Amar Akbar Anthony
0,Marriage,Crime,Power,Love,The Real,NaN,NaN,NaN,Amar Deep
0,Family,Marriage,Love,Doctor Who,The Five Doctors,Master,Mother,Third Doctor,Amar Prem
0,N. Linguswamy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ameer Aadmi Gharib Aadmi
0,Neuroscience,List,Unix,Lists,Cheque,NaN,NaN,NaN,Amit Sahni Ki List
0,Marriage,Woman,The Goon Show,NaN,NaN,NaN,NaN,NaN,Anamika
0,Friendship,Oncology,Poverty,Cancer,Treats,Chemotherapy,Imaginary,Illness,Anand
0,Family,Marriage,Love,Mother,Father,Nuclear family,NaN,NaN,Anand Ashram
0,Marriage,Divorce,Family,Alimony,Alcoholic beverage,Annulment,Gender,Monogamy,Anand Aur Anand
0,2005 albums,Waqt,Employment,Unfortunately,Sole proprietorship,Asha,Truth,The Trial,Anari
0,Family,Marriage,Ransom,Kidnapping,Property,Bride kidnapping,English-language films,Wealth,Anari No.1
0,Marriage,Love,Family,Husband,Wife,Spouse,Engagement,Indian Air Force,Andaaz
0,Death,Hema Malini,Rajesh Khanna,Indian film actors,Shammi Kapoor,NaN,NaN,NaN,Andaz
0,KILL,Jan Nisar Akhtar,Man,Wood,Family,Tiger Woods,Vijay Singh,Killing vector field,Andha Kanoon
0,English-language films,Black-and-white films,American films,Film noir,Constable,Ireland,NaN,NaN,Andha Yudh
0,Marriage,Love,KILL,Drug addiction,Family,Sexual intercourse,Parent,Rape,Angaaray
0,Family,Sibling,Kinship and descent,The Police,Abhay Ashtekar,Prison,Kumi Koda,American Hindus,Angel
0,Marriage,Abuse,Woman,Police officer,Impending Doom,Harassment,Sociology,Rape,Angry Indian Goddesses
0,Hospital,Mental disorder,Psychiatric hospital,Parking lot,Parking,Psychiatry,NaN,NaN,Anhonee
0,White people,Race,Black Country,Cleveland Indians,Slavery,United Kingdom,NaN,NaN,Anita and Me
0,KILL,Family,Oxygen mask,NaN,NaN,NaN,NaN,NaN,Anjaam
0,Family,Marriage,Reasoning,The Boy Sherlock Holmes,Ill Repute,Logic,Idealism,Man,Ankhon Dekhi
0,Marriage,Village People,Villager,Goddess,Village,Bullock cart,Rama,Dalit,Ankur
0,Witness,2000s music groups,Riya Sen,Life,NaN,NaN,NaN,NaN,Ankur Arora Murder Case
0,Police,Constable,Police officer,Police brutality,KILL,Undercover,Crime,Friendship,Annarth
0,Family,Love,Personal life,Stepfamily,Mother,Life,Happiness,The Real,Anokha Bandhan
0,Interpersonal relationship,Management,Thing,Business,Friendship,Man,According to Jim,Corporation,Anokhi Ada
0,Superintendent,Inspector,Chief Inspector,Queensland Police,Police ranks,Police division,Bhagat Singh,Police,Ansh: The Deadly Part
0,Bihar,Durga,Goddess,Durga Puja,Assam,19th century,Marriage,Bengal,Antarmahal
0,Marriage,Termination of employment,Time,Resignation,Tell,Family,Present,NaN,Anubhav
0,Family,Marriage,Mother,Singing,Father,Nuclear family,Vocal range,Grandparent,Anurodh
0,George W. Bush,Osama bin Laden,Al-Qaeda,Videos of Osama bin Laden,Bill Clinton,Bin Laden family,Special Activities Division,Islamic terrorism,Anwar
0,KILL,Kidnapping,NaN,NaN,NaN,NaN,NaN,NaN,Apaharan
0,Personality psychology,Dissociative identity disorder,Evidence,Love,Personality disorder,Circumstantial evidence,Puranas,NaN,Aparichit
0,Marriage,Rice,Colonialism,Arranged marriage,Wife,Family,Sociology,Officer,Aparoopa
0,Crime,Gang,Trial,Police,Criminal law,Man,Arrest,Childhood,Apna Bana Lo
0,Marriage,Love,Family,Deception,Neighbourhood,NaN,NaN,NaN,Apna Sapna Money Money
0,Family,Love,Wife,Marriage,English-language films,The Second Chance,NaN,NaN,Apnapan
0,English-language films,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Apne
0,Family,Marriage,Love,Year of birth missing,Pregnancy,Spoiled child,Change,Robots in Disguise,Apne Apne
0,KILL,Circus,Death,Mother,The Police,Truck,Killing vector field,Suicide,Appu Raja
0,Police,Constable,Crime,Inspector,Abuse,Police officer,The Police,Police brutality,Ardh Satya
0,The Goon Show,The Last Goon Show of All,Spike Milligan,Stepfamily,NaN,NaN,NaN,NaN,Arjun
0,Draupadi,Kurukshetra War,Arjuna,Yudhisthira,Karna,Drona,Pandava,Duryodhana,Arjun: The Warrior Prince
0,Marriage,Love,Physician,Accident,Patient,Hospital,Divorce,Tram accident,Armaan
0,English-language films,American films,Love,Marriage,Officer,The Run,Arjuna,Officer,Army
0,Love,Marriage,Embarrassment,Family,NaN,NaN,NaN,NaN,Arpan
0,Family,Film,Surnames,Mother,American Craftsman,Politics,The Craftsman,Arts,Arvind Desai Ki Ajeeb Dastaan
0,KILL,India,Henry James,President,President of the United States,Suicide,Rajput,NaN,Asambhav
0,Marriage,Wife,Family,Husband,Love,Debt,Mother,Friendship,Asha Jyoti
0,Bihar,Lakshmi Narayan,The Help,Narayan,Andreas Wilson,NaN,NaN,NaN,Asli Naqli
0,Childbirth,Woman,KILL,Rescue,Love,Rock music,Female,Leo White,Asmaan Se Ooncha
0,Ashoka the Great,Maurya Empire,Chandragupta Maurya,Magadha,Kalinga War,Assassination,AssassiNation,Mauryan dynasty,Asoka
