Charc,Movie,NewChar
",Jaya Bhaduri",Piya Ka Ghar,['Jaya Bhaduri']
",Jack Weatherford,Genghis Khan,Jacob,Henry James",Hip Hip Hurray,"['Jack Weatherford', 'Genghis Khan', 'Jacob', 'Henry James']"
",Shashi Kapoor",Rootha Na Karo,['Shashi Kapoor']
",Hrithik Roshan,Rakesh Roshan,Preity Zinta,Rekha,Rajesh Roshan",Koi... Mil Gaya,"['Hrithik Roshan', 'Rakesh Roshan', 'Preity Zinta', 'Rekha', 'Rajesh Roshan']"
",Tribhovandas Patel,Vijay Tendulkar,Shyam Benegal,Girish Karnad,Vanraj Bhatia,Kulbhushan Kharbanda,Mohan Agashe",Manthan,"['Tribhovandas Patel', 'Vijay Tendulkar', 'Shyam Benegal', 'Girish Karnad', 'Vanraj Bhatia', 'Kulbhushan Kharbanda', 'Mohan Agashe']"
",Rishi Kapoor,Juhi Chawla,Jeetendra,Paresh Rawal,Kader Khan",Rishta To Ho Aisa,"['Rishi Kapoor', 'Juhi Chawla', 'Jeetendra', 'Paresh Rawal', 'Kader Khan']"
",Shah Rukh Khan,Amitabh Bachchan,Anand Bakshi,Aditya Chopra,Jugal Hansraj,Rakesh Roshan,Yash Chopra",Mohabbatein,"['Shah Rukh Khan', 'Amitabh Bachchan', 'Anand Bakshi', 'Aditya Chopra', 'Jugal Hansraj', 'Rakesh Roshan', 'Yash Chopra']"
",Aditya Pancholi,Pooja Bhatt,Raghuvir Yadav,Kiran Kumar",Chor Aur Chaand,"['Aditya Pancholi', 'Pooja Bhatt', 'Raghuvir Yadav', 'Kiran Kumar']"
",Sanjeev Kumar,Ashok Kumar,Rajesh Khanna,Jagdish Kumar,Rakesh Roshan,Rekha,Farida Jalal,J. Om Prakash,Mumtaz Shanti,Keshto Mukherjee",Aakraman,"['Sanjeev Kumar', 'Ashok Kumar', 'Rajesh Khanna', 'Jagdish Kumar', 'Rakesh Roshan', 'Rekha', 'Farida Jalal', 'J. Om Prakash', 'Mumtaz Shanti', 'Keshto Mukherjee']"
",Akshay Kumar,Kumar Sanu,Anupam Kher,Ronit Roy",Sainik,"['Akshay Kumar', 'Kumar Sanu', 'Anupam Kher', 'Ronit Roy']"
",J. Om Prakash,Reena Roy,Meenakshi Sheshadri",Aadmi Khilona Hai,"['J. Om Prakash', 'Reena Roy', 'Meenakshi Sheshadri']"
",Arjun Rampal,Paresh Rawal,Priyanshu Chatterjee",Dil Ka Rishta,"['Arjun Rampal', 'Paresh Rawal', 'Priyanshu Chatterjee']"
",Raj Babbar,Bappi Lahiri,Anant Nag,Tiger Prabhakar,Sathyaraj",Kanwarlal,"['Raj Babbar', 'Bappi Lahiri', 'Anant Nag', 'Tiger Prabhakar', 'Sathyaraj']"
",Raj Kumar,Raj Kapoor,Lalita Pawar,Nutan,Hasrat Jaipuri,Hrishikesh Mukherjee",Anari,"['Raj Kumar', 'Raj Kapoor', 'Lalita Pawar', 'Nutan', 'Hasrat Jaipuri', 'Hrishikesh Mukherjee']"
",Manas Mukherjee,Farida Jalal,Simi Garewal,Naseeruddin Shah,Vijayendra Ghatge,Mohd Rafi,Nitin Mukesh,Iftekhar",Shaayad,"['Manas Mukherjee', 'Farida Jalal', 'Simi Garewal', 'Naseeruddin Shah', 'Vijayendra Ghatge', 'Mohd Rafi', 'Nitin Mukesh', 'Iftekhar']"
",Rajesh Khanna,Sharmila Tagore,Nirupa Roy",Chhoti Bahu,"['Rajesh Khanna', 'Sharmila Tagore', 'Nirupa Roy']"
",Raj Babbar,Suresh Oberoi,Sharat Saxena,Dimple Kapadia,Bappi Lahiri,Danny Denzongpa,Alfred Hitchcock,Mukul Anand,Asha Bhosle,Mark Halliday",Aitbaar,"['Raj Babbar', 'Suresh Oberoi', 'Sharat Saxena', 'Dimple Kapadia', 'Bappi Lahiri', 'Danny Denzongpa', 'Alfred Hitchcock', 'Mukul Anand', 'Asha Bhosle', 'Mark Halliday']"
",Shekhar Suman,Simple Kapadia,Jyoti Sarup,Bharat Bhushan",Rehguzar,"['Shekhar Suman', 'Simple Kapadia', 'Jyoti Sarup', 'Bharat Bhushan']"
",Sheela,Anil Kapoor,Boman Irani,Suchitra Krishnamurti,Nandana Sen,Ram Gopal Varma",My Wife's Murder,"['Sheela', 'Anil Kapoor', 'Boman Irani', 'Suchitra Krishnamurti', 'Nandana Sen', 'Ram Gopal Varma']"
",Louis C.K.,Pope Hilarius,Arthur Schopenhauer,Georg Lichtenberg,Aristotle,E.B. White,Socrates,Mao Zedong,Confucius,Rowan Atkinson",Fugly,"['Louis C.K.', 'Pope Hilarius', 'Arthur Schopenhauer', 'Georg Lichtenberg', 'Aristotle', 'E.B. White', 'Socrates', 'Mao Zedong', 'Confucius', 'Rowan Atkinson']"
",Dev Anand,Suraiya,Kalpana Kartik,Waheeda Rehman,Anand Bakshi,Guru Dutt,Sachin Dev Burman,Dilip Kumar,Ashok Kumar,Kishore Kumar,Zeenat Aman,Raj Kapoor",Anand Aur Anand,"['Dev Anand', 'Suraiya', 'Kalpana Kartik', 'Waheeda Rehman', 'Anand Bakshi', 'Guru Dutt', 'Sachin Dev Burman', 'Dilip Kumar', 'Ashok Kumar', 'Kishore Kumar', 'Zeenat Aman', 'Raj Kapoor']"
",Anand Raj Anand,Sher Khan,Sanjay Dutt,Priyanka Chopra,Puneet Prakash Mehra,Apoorva Lakhia,Salim Khan,Atul Kulkarni,Anupama Chopra",Zanjeer,"['Anand Raj Anand', 'Sher Khan', 'Sanjay Dutt', 'Priyanka Chopra', 'Puneet Prakash Mehra', 'Apoorva Lakhia', 'Salim Khan', 'Atul Kulkarni', 'Anupama Chopra']"
",Dasari Narayana Rao,Jeetendra,Deepak Tijori,Moushumi Chatterjee,D. Ramanaidu",Santaan,"['Dasari Narayana Rao', 'Jeetendra', 'Deepak Tijori', 'Moushumi Chatterjee', 'D. Ramanaidu']"
",Aamir Khan,Kabir Khan,Farah Khan,Nasir Hussain,Kiran Rao",Aamir,"['Aamir Khan', 'Kabir Khan', 'Farah Khan', 'Nasir Hussain', 'Kiran Rao']"
",Prem Nath,A. Bhimsingh",Yaaron Ka Yaar,"['Prem Nath', 'A. Bhimsingh']"
",Guru Dutt,Geeta Dutt,S.D. Burman,Waheeda Rehman,Abrar Alvi,Mala Sinha,Johnny Walker,Sahir Ludhianvi,Rehman,Hemant Kumar,Amrita Pritam,Mohammed Rafi",Pyaasa,"['Guru Dutt', 'Geeta Dutt', 'S.D. Burman', 'Waheeda Rehman', 'Abrar Alvi', 'Mala Sinha', 'Johnny Walker', 'Sahir Ludhianvi', 'Rehman', 'Hemant Kumar', 'Amrita Pritam', 'Mohammed Rafi']"
",Amitabh Bachchan,Rajkumar Santoshi,Akshay Kumar,Tusshar Kapoor,Lara Dutta",Khakee,"['Amitabh Bachchan', 'Rajkumar Santoshi', 'Akshay Kumar', 'Tusshar Kapoor', 'Lara Dutta']"
",Amitabh Bachchan,Rajinikanth",John Jani Janardhan,"['Amitabh Bachchan', 'Rajinikanth']"
",Sardar Khan,Rajesh Khanna,Rishi Kapoor,Akshaye Khanna,Sachin Bhowmick,Alok Nath,Moushumi Chatterjee,Kader Khan,Suman Ranganathan",Aa Ab Laut Chalen,"['Sardar Khan', 'Rajesh Khanna', 'Rishi Kapoor', 'Akshaye Khanna', 'Sachin Bhowmick', 'Alok Nath', 'Moushumi Chatterjee', 'Kader Khan', 'Suman Ranganathan']"
",Kapil,Dr Zeus,Manjari Fadnis,Sharat Saxena,Manoj Joshi,Supriya Pathak",Kis Kisko Pyaar Karoon,"['Kapil', 'Dr Zeus', 'Manjari Fadnis', 'Sharat Saxena', 'Manoj Joshi', 'Supriya Pathak']"
",Tapan Sinha,Dr. Subhash Mukhopadhyay,Shabana Azmi,Irfan Khan,Anil Chatterjee",Ek Doctor Ki Maut,"['Tapan Sinha', 'Dr. Subhash Mukhopadhyay', 'Shabana Azmi', 'Irfan Khan', 'Anil Chatterjee']"
",J. Om Prakash",Aashiq Hoon Baharon Ka,['J. Om Prakash']
",Salman Khan,Sanjay Leela Bhansali,Vikram Gokhale,Ismail Darbar",Hum Dil De Chuke Sanam,"['Salman Khan', 'Sanjay Leela Bhansali', 'Vikram Gokhale', 'Ismail Darbar']"
",Rudyard Kipling,Chinua Achebe,Upton Sinclair,Johnny Weissmuller",Jungle,"['Rudyard Kipling', 'Chinua Achebe', 'Upton Sinclair', 'Johnny Weissmuller']"
",Hema Malini,Raaj Kumar,Kishore Kumar,Vinod Mehra,Asit Sen,Asha Bhosle,Manna Dey,Hasrat Jaipuri",Lal Patthar,"['Hema Malini', 'Raaj Kumar', 'Kishore Kumar', 'Vinod Mehra', 'Asit Sen', 'Asha Bhosle', 'Manna Dey', 'Hasrat Jaipuri']"
",Akshay Kumar,Raveena Tandon,Rekha,Anu Malik,Laura Branigan,Brian Lee,Gulshan Grover",Khiladiyon Ka Khiladi,"['Akshay Kumar', 'Raveena Tandon', 'Rekha', 'Anu Malik', 'Laura Branigan', 'Brian Lee', 'Gulshan Grover']"
",Shashi Kapoor,Rajendra Nath,Ajit Khan",Patanga,"['Shashi Kapoor', 'Rajendra Nath', 'Ajit Khan']"
",Padmini Kolhapure",Karmayogi,['Padmini Kolhapure']
",Jeetendra,Jaya Prada,Shakti Kapoor,Sridevi,Bappi Lahiri,Kader Khan,Shreeram Lagoo,Rajnikanth",Mawaali,"['Jeetendra', 'Jaya Prada', 'Shakti Kapoor', 'Sridevi', 'Bappi Lahiri', 'Kader Khan', 'Shreeram Lagoo', 'Rajnikanth']"
",Paresh Rawal,Sharbani Mukherjee,Nana Patekar,Mahendra Singh",Aanch,"['Paresh Rawal', 'Sharbani Mukherjee', 'Nana Patekar', 'Mahendra Singh']"
",Anand Raj Anand,Sadashiv Amrapurkar,Danny Denzongpa,Johnny Lever,Gulshan Grover,Parikshit Sahni",Yeh Mohabbat Hai,"['Anand Raj Anand', 'Sadashiv Amrapurkar', 'Danny Denzongpa', 'Johnny Lever', 'Gulshan Grover', 'Parikshit Sahni']"
",Sunny Leone,Meera,Bhushan Kumar,Rahul Dev",Ek Paheli Leela,"['Sunny Leone', 'Meera', 'Bhushan Kumar', 'Rahul Dev']"
",Saif Ali Khan,Shafqat Amanat Ali,Mithoon",Yaariyan,"['Saif Ali Khan', 'Shafqat Amanat Ali', 'Mithoon']"
",Amrish Puri,Sridevi,Allu Ramalingaiah,Chiranjeevi,Tiger Prabhakar",Aadmi Aur Apsara,"['Amrish Puri', 'Sridevi', 'Allu Ramalingaiah', 'Chiranjeevi', 'Tiger Prabhakar']"
",Basu Chatterjee",Gudgudee,['Basu Chatterjee']
",Sunil Shetty,Namrata Shirodkar,Anu Malik,Suman Ranganathan,Sushmita Sen,Alok Nath,Sharad Kapoor,Sharat Saxena,Gulshan Grover",Aaghaaz,"['Sunil Shetty', 'Namrata Shirodkar', 'Anu Malik', 'Suman Ranganathan', 'Sushmita Sen', 'Alok Nath', 'Sharad Kapoor', 'Sharat Saxena', 'Gulshan Grover']"
",Raveena Tandon,Nandamuri Balakrishna,Ramya Krishna,Rao Gopal Rao,Rama",Ek Anari Do Khiladi,"['Raveena Tandon', 'Nandamuri Balakrishna', 'Ramya Krishna', 'Rao Gopal Rao', 'Rama']"
",Dara Singh,Raj Kapoor",Mera Desh Mera Dharam,"['Dara Singh', 'Raj Kapoor']"
",Amisha Patel,Bobby Deol,Akshaye Khanna,Himesh Reshammiya",Humraaz,"['Amisha Patel', 'Bobby Deol', 'Akshaye Khanna', 'Himesh Reshammiya']"
",Divya Dutta,Juhi Chawla,Gurdas Maan,Mukesh Rishi,Sushant Singh",Waris Shah: Ishq Daa Waaris,"['Divya Dutta', 'Juhi Chawla', 'Gurdas Maan', 'Mukesh Rishi', 'Sushant Singh']"
",Coco Chanel",Black,['Coco Chanel']
",Rajendra Kumar,Asha Parekh",Insaaf Ka Khoon,"['Rajendra Kumar', 'Asha Parekh']"
",Vidya Balan,Tusshar Kapoor,Emraan Hashmi,Naseeruddin Shah,Selva Ganesh,Shobha Kapoor",The Dirty Picture,"['Vidya Balan', 'Tusshar Kapoor', 'Emraan Hashmi', 'Naseeruddin Shah', 'Selva Ganesh', 'Shobha Kapoor']"
",Katrina Kaif,Imran Khan,Ali Zafar,Preity Zinta,Parikshat Sahni,Aditya Chopra",Dulhan,"['Katrina Kaif', 'Imran Khan', 'Ali Zafar', 'Preity Zinta', 'Parikshat Sahni', 'Aditya Chopra']"
",Aparna Sen,Hrishikesh Mukherjee,Subhash Ghai,George Fernandes,Raza Murad,Amitabh Bachchan,Ravindra Jain",Kotwal Saab,"['Aparna Sen', 'Hrishikesh Mukherjee', 'Subhash Ghai', 'George Fernandes', 'Raza Murad', 'Amitabh Bachchan', 'Ravindra Jain']"
",Juhi Chawla,Sushma Seth,Alok Nath,Rishi Kapoor,David Dhawan,Shakti Kapoor,Kiran Kumar",Bol Radha Bol,"['Juhi Chawla', 'Sushma Seth', 'Alok Nath', 'Rishi Kapoor', 'David Dhawan', 'Shakti Kapoor', 'Kiran Kumar']"
",Rishi Kapoor,Kajol,Anil Devgan,Manisha Koirala,Johnny Lever",Raju Chacha,"['Rishi Kapoor', 'Kajol', 'Anil Devgan', 'Manisha Koirala', 'Johnny Lever']"
",Shah Rukh Khan,Saif Ali Khan,Karan Johar,Preity Zinta,Sukanya Verma,Salman Khan,Anil Mehta,Niranjan Iyengar",Kal Ho Naa Ho,"['Shah Rukh Khan', 'Saif Ali Khan', 'Karan Johar', 'Preity Zinta', 'Sukanya Verma', 'Salman Khan', 'Anil Mehta', 'Niranjan Iyengar']"
",Hrishikesh Mukherjee,Amol Palekar,Bindiya Goswami,Mukherjee,Sachin Bhowmick,David Dhawan,David,Deven Verma,Utpal Dutt,Om Prakash,Rekha,Rohit Shetty",Gol Maal,"['Hrishikesh Mukherjee', 'Amol Palekar', 'Bindiya Goswami', 'Mukherjee', 'Sachin Bhowmick', 'David Dhawan', 'David', 'Deven Verma', 'Utpal Dutt', 'Om Prakash', 'Rekha', 'Rohit Shetty']"
",Vivek Oberoi,Sanjay Khanduri,Malika Sherawat",Kismet Love Paisa Dilli,"['Vivek Oberoi', 'Sanjay Khanduri', 'Malika Sherawat']"
",Prashant Pandey",Sadda Adda,['Prashant Pandey']
",Margaret Bourke-White",Train to Pakistan,['Margaret Bourke-White']
",Leena Chandavarkar,R. Krishnan",Main Sunder Hoon,"['Leena Chandavarkar', 'R. Krishnan']"
",Amitabh Bachchan,Dharmendra,Zeenat Aman,Amjad Khan,Prem Chopra,Rekha",Ram Balram,"['Amitabh Bachchan', 'Dharmendra', 'Zeenat Aman', 'Amjad Khan', 'Prem Chopra', 'Rekha']"
",Gulzar,Shatrughan Sinha,Meena Kumari,Salil Choudhury,Vinod Khanna,Keshto Mukherjee,Deven Verma,Asit Sen,Hrishikesh Mukherjee,Danny Denzongpa,Bimal Roy,Asrani,A. K. Hangal",Mere Apne,"['Gulzar', 'Shatrughan Sinha', 'Meena Kumari', 'Salil Choudhury', 'Vinod Khanna', 'Keshto Mukherjee', 'Deven Verma', 'Asit Sen', 'Hrishikesh Mukherjee', 'Danny Denzongpa', 'Bimal Roy', 'Asrani', 'A. K. Hangal']"
",Arya Babbar,Ashok Saraf,Shriya Saran,Shoma Anand",Thoda Tum Badlo Thoda Hum,"['Arya Babbar', 'Ashok Saraf', 'Shriya Saran', 'Shoma Anand']"
",Smita Patil,Farooq Shaikh,Shreeram Lagoo",Mere Saath Chal,"['Smita Patil', 'Farooq Shaikh', 'Shreeram Lagoo']"
",Dimple Kapadia,Mithun Chakraborty,Babbar Subhash,Danny Denzongpa",Pyar Ke Naam Qurbaan,"['Dimple Kapadia', 'Mithun Chakraborty', 'Babbar Subhash', 'Danny Denzongpa']"
",Tusshar Kapoor,Ekta Kapoor,Raima Sen,Sachin Yardi,Anupam Kher,Shobha Kapoor,Rajpal Yadav",C Kkompany,"['Tusshar Kapoor', 'Ekta Kapoor', 'Raima Sen', 'Sachin Yardi', 'Anupam Kher', 'Shobha Kapoor', 'Rajpal Yadav']"
",Rishi Kapoor,Ravi Tandon,Aruna Irani,Rakesh Roshan,Kishore Kumar",Khel Khel Mein,"['Rishi Kapoor', 'Ravi Tandon', 'Aruna Irani', 'Rakesh Roshan', 'Kishore Kumar']"
",Durga Devi,Prem Chopra,Aruna Irani,Ashok Saraf,Laxmikant Berde,Ram,Johnny Lever",Beti No.1,"['Durga Devi', 'Prem Chopra', 'Aruna Irani', 'Ashok Saraf', 'Laxmikant Berde', 'Ram', 'Johnny Lever']"
",Sulakshana Pandit,Waheeda Rehman,Raaj Kumar,Rajesh Khanna,Reena Roy",Dharam Kanta,"['Sulakshana Pandit', 'Waheeda Rehman', 'Raaj Kumar', 'Rajesh Khanna', 'Reena Roy']"
",Kunal,Akshaye Khanna,Anupam Kher,Priyanka Chopra,Dino Morea,Ameesha Patel,Suniel Shetty,Anupama Chopra,Himesh Reshammiya,Dharmesh Darshan,Lilette Dubey",Aap Ki Khatir,"['Kunal', 'Akshaye Khanna', 'Anupam Kher', 'Priyanka Chopra', 'Dino Morea', 'Ameesha Patel', 'Suniel Shetty', 'Anupama Chopra', 'Himesh Reshammiya', 'Dharmesh Darshan', 'Lilette Dubey']"
",Mohammad Aziz,Suresh Wadkar,Anuradha Paudwal,Udit Narayan,Pankaj Udhas",Lal dupatta malmal ka,"['Mohammad Aziz', 'Suresh Wadkar', 'Anuradha Paudwal', 'Udit Narayan', 'Pankaj Udhas']"
",Arshad Warsi,Dia Mirza,Javed Akhtar,Kabeer Kaushik,Javed Sheikh,Boman Irani",Hum Tum Aur Ghost,"['Arshad Warsi', 'Dia Mirza', 'Javed Akhtar', 'Kabeer Kaushik', 'Javed Sheikh', 'Boman Irani']"
",Caesar,Emperor Diocletian,Emperor Heraclius,Emperor Maximilian I,Emperor Tenmu,Emperor Nicholas II,Emperor Pedro II,Emperor Jimmu,Francis II",Samraat,"['Caesar', 'Emperor Diocletian', 'Emperor Heraclius', 'Emperor Maximilian I', 'Emperor Tenmu', 'Emperor Nicholas II', 'Emperor Pedro II', 'Emperor Jimmu', 'Francis II']"
",Dev Anand,Anupam Kher,Richa Sharma,Shriram Lagoo",Hum Naujawan,"['Dev Anand', 'Anupam Kher', 'Richa Sharma', 'Shriram Lagoo']"
",Akshay Kapoor,Yash Tonk,Anupama Chopra,Deepak Tijori,Mukherjee",Popcorn Khao! Mast Ho Jao,"['Akshay Kapoor', 'Yash Tonk', 'Anupama Chopra', 'Deepak Tijori', 'Mukherjee']"
",Sushmita Sen,Sushant Singh,Morgan Freeman,Brad Pitt,Jackie Shroff",Samay: When Time Strikes,"['Sushmita Sen', 'Sushant Singh', 'Morgan Freeman', 'Brad Pitt', 'Jackie Shroff']"
",Mahesh Manjrekar,Amitabh Bachchan,Sharmila Tagore,Sanjay Dutt,John Abraham",Viruddh... Family Comes First,"['Mahesh Manjrekar', 'Amitabh Bachchan', 'Sharmila Tagore', 'Sanjay Dutt', 'John Abraham']"
",Álvaro Obregón",1920,['Álvaro Obregón']
",Vivek Oberoi,Kajal Aggarwal,Javed Akhtar,Amitabh Bachchan,Suniel Shetty",Kyun...! Ho Gaya Na,"['Vivek Oberoi', 'Kajal Aggarwal', 'Javed Akhtar', 'Amitabh Bachchan', 'Suniel Shetty']"
",Mohan Lal Srivatsav,Utpal Dutt,Jeetendra,Rekha,Shabana Azmi,Akkineni Nageswara Rao,Parikshit Sahni,Shreeram Lagoo",Raaste Pyar Ke,"['Mohan Lal Srivatsav', 'Utpal Dutt', 'Jeetendra', 'Rekha', 'Shabana Azmi', 'Akkineni Nageswara Rao', 'Parikshit Sahni', 'Shreeram Lagoo']"
",Kader Khan,Bhumika Chawla,Amitabh Bachchan,Akshay Kumar,Rajkumar Santoshi,Sushant Singh",Family  Ties of Blood,"['Kader Khan', 'Bhumika Chawla', 'Amitabh Bachchan', 'Akshay Kumar', 'Rajkumar Santoshi', 'Sushant Singh']"
",Durga Singh,Arjun Singh,Shah Rukh Khan,Salman Khan,Kajol,Mamta Kulkarni,Rakesh Roshan,Ajay Devgan,Aashif Sheikh,Rajesh Roshan,Amrish Puri,Hrithik Roshan,Sachin Bhowmick,Ravi Kapoor",Karan Arjun,"['Durga Singh', 'Arjun Singh', 'Shah Rukh Khan', 'Salman Khan', 'Kajol', 'Mamta Kulkarni', 'Rakesh Roshan', 'Ajay Devgan', 'Aashif Sheikh', 'Rajesh Roshan', 'Amrish Puri', 'Hrithik Roshan', 'Sachin Bhowmick', 'Ravi Kapoor']"
",Jaya Bhaduri,Balraj Sahni,Randhir Kapoor,Nirupa Roy,Anand Bakshi,Kader Khan,Narender Bedi",Jawani Diwani,"['Jaya Bhaduri', 'Balraj Sahni', 'Randhir Kapoor', 'Nirupa Roy', 'Anand Bakshi', 'Kader Khan', 'Narender Bedi']"
",Jeetendra",Aag Aur Shola,['Jeetendra']
",Inspector Kabir Nayak,Sanjay Dutt,Indra Kumar,Arshad Warsi,Adnan Sami,Javed Jaffrey,Asrani,Aashish Chaudhary,Vijay Raaz",Dhamaal,"['Inspector Kabir Nayak', 'Sanjay Dutt', 'Indra Kumar', 'Arshad Warsi', 'Adnan Sami', 'Javed Jaffrey', 'Asrani', 'Aashish Chaudhary', 'Vijay Raaz']"
",Soundarya,Deepika Padukone,A. R. Rahman,K. S. Ravikumar,Rajnikanth,R. Sarathkumar",Kochadaiiyaan,"['Soundarya', 'Deepika Padukone', 'A. R. Rahman', 'K. S. Ravikumar', 'Rajnikanth', 'R. Sarathkumar']"
",Akshay Kumar,Katrina Kaif,Rishi Kapoor,Javed Sheikh,Clive Standen,Upen Patel,Vipul Amrutlal Shah,Priyanka Chopra,Himesh Reshammiya",Namastey London,"['Akshay Kumar', 'Katrina Kaif', 'Rishi Kapoor', 'Javed Sheikh', 'Clive Standen', 'Upen Patel', 'Vipul Amrutlal Shah', 'Priyanka Chopra', 'Himesh Reshammiya']"
",Jackie Shroff,Anuradha Paudwal",Doodh Ka Karz,"['Jackie Shroff', 'Anuradha Paudwal']"
",Satish Shah,Sadashiv Amrapurkar,Pradeep Kumar",Purana Mandir,"['Satish Shah', 'Sadashiv Amrapurkar', 'Pradeep Kumar']"
",Paresh Rawal,Arshad Warsi,Akash Chopra,Riya Sen,Shakti Kapoor,Tinnu Anand",Rabba Main Kya Karoon,"['Paresh Rawal', 'Arshad Warsi', 'Akash Chopra', 'Riya Sen', 'Shakti Kapoor', 'Tinnu Anand']"
",Sanjay Kapoor,Priya Gill,Sushmita Sen,Basu Chatterjee,Simran Bagga,Jackie Shroff,Salman Khan",Sirf Tum,"['Sanjay Kapoor', 'Priya Gill', 'Sushmita Sen', 'Basu Chatterjee', 'Simran Bagga', 'Jackie Shroff', 'Salman Khan']"
",Jason Lewis,Kashmira Shah,Richard Martini,Sanjay Suri",My Bollywood Bride,"['Jason Lewis', 'Kashmira Shah', 'Richard Martini', 'Sanjay Suri']"
",Lawrence D'Souza,Jackie Shroff,Rahul Roy,Karishma Kapoor,Kumar Sanu,Alok Nath,Dimple Kapadia,Aditya Pancholi,Gulshan Grover,Aruna Irani",Sapne Sajan Ke,"[""Lawrence D'Souza"", 'Jackie Shroff', 'Rahul Roy', 'Karishma Kapoor', 'Kumar Sanu', 'Alok Nath', 'Dimple Kapadia', 'Aditya Pancholi', 'Gulshan Grover', 'Aruna Irani']"
",Aftab Shivdasani,Lisa Ray,Ashutosh Rana,Vikram Bhatt,Apoorva Agnihotri,Irrfan Khan,Kumar Sanu,Alka Yagnik,Udit Narayan",Kasoor,"['Aftab Shivdasani', 'Lisa Ray', 'Ashutosh Rana', 'Vikram Bhatt', 'Apoorva Agnihotri', 'Irrfan Khan', 'Kumar Sanu', 'Alka Yagnik', 'Udit Narayan']"
",Satish Kaushik,Qateel Shifai",Gang of Ghosts,"['Satish Kaushik', 'Qateel Shifai']"
",Javed Akhtar,Zayed Khan,Dia Mirza,Tisca Chopra,Cyrus Sahukar",Love Breakups Zindagi,"['Javed Akhtar', 'Zayed Khan', 'Dia Mirza', 'Tisca Chopra', 'Cyrus Sahukar']"
",Urmila Matondkar,Mahima Chaudhry,Paresh Rawal,Johnny Lever",Deewane,"['Urmila Matondkar', 'Mahima Chaudhry', 'Paresh Rawal', 'Johnny Lever']"
",Paan Singh Tomar,Tigmanshu Dhulia,Irrfan Khan,Nawazuddin Siddiqui,Mahie Gill,Vipin Sharma",Paan Singh Tomar,"['Paan Singh Tomar', 'Tigmanshu Dhulia', 'Irrfan Khan', 'Nawazuddin Siddiqui', 'Mahie Gill', 'Vipin Sharma']"
",Rajeev Khandelwal,Paresh Rawal",Table No. 21,"['Rajeev Khandelwal', 'Paresh Rawal']"
",Farhan Akhtar,Arjun Rampal,Prachi Desai,Purab Kohli,Abhishek Kapoor,Javed Akhtar,Luke Kenny,Shahana Goswami",Rock On!!,"['Farhan Akhtar', 'Arjun Rampal', 'Prachi Desai', 'Purab Kohli', 'Abhishek Kapoor', 'Javed Akhtar', 'Luke Kenny', 'Shahana Goswami']"
",Joseph Campbell,Thomas Carlyle,Ernest Becker,Lord Raglan,Vladimir Propp,Alvin York,Karl Marx,Sophie Scholl,Chuck Yeager,Fernand Braudel",Heroine,"['Joseph Campbell', 'Thomas Carlyle', 'Ernest Becker', 'Lord Raglan', 'Vladimir Propp', 'Alvin York', 'Karl Marx', 'Sophie Scholl', 'Chuck Yeager', 'Fernand Braudel']"
",Jaya Prada,Vinod Mehra",Aulad,"['Jaya Prada', 'Vinod Mehra']"
",Anita Kanwar,Amol Palekar,Vikram Gokhale,Nana Patekar,Sridevi",Thodasa Roomani Ho Jaayen,"['Anita Kanwar', 'Amol Palekar', 'Vikram Gokhale', 'Nana Patekar', 'Sridevi']"
",Vishal Bhardwaj,Nimmi,William Shakespeare,Naseeruddin Shah,Masumeh Makhija",Maqbool,"['Vishal Bhardwaj', 'Nimmi', 'William Shakespeare', 'Naseeruddin Shah', 'Masumeh Makhija']"
",Salman Khan,Boney Kapoor,Fardeen Khan,Lara Dutta,Esha Deol,Charlie Chaplin,Bipasha Basu,Sameera Reddy,Anil Kapoor,Anees Bazmee,Anu Malik,Akshay Kumar",No Entry,"['Salman Khan', 'Boney Kapoor', 'Fardeen Khan', 'Lara Dutta', 'Esha Deol', 'Charlie Chaplin', 'Bipasha Basu', 'Sameera Reddy', 'Anil Kapoor', 'Anees Bazmee', 'Anu Malik', 'Akshay Kumar']"
",J. Om Prakash,Reena Roy,Sulakshana Pandit,Sanjeev Kumar,Meryl Streep,Shoban Babu,Sridevi",Apnapan,"['J. Om Prakash', 'Reena Roy', 'Sulakshana Pandit', 'Sanjeev Kumar', 'Meryl Streep', 'Shoban Babu', 'Sridevi']"
",Sanjay Dutt,Sanjay Gupta,Manisha Koirala,Sunil Shetty,Anu Malik,Sharad Kapoor,Parmeet Sethi,Sunny Deol",Khauff,"['Sanjay Dutt', 'Sanjay Gupta', 'Manisha Koirala', 'Sunil Shetty', 'Anu Malik', 'Sharad Kapoor', 'Parmeet Sethi', 'Sunny Deol']"
",Mithun Chakraborty,Ranjeeta Kaur,Madan Puri,Kader Khan,Deepak Bahry",Woh Jo Hasina,"['Mithun Chakraborty', 'Ranjeeta Kaur', 'Madan Puri', 'Kader Khan', 'Deepak Bahry']"
",Sushant Singh,Rajkumar Santoshi,Akhilendra Mishra,A. R. Rahman,K. V. Anand,Nitin Chandrakant Desai",The Legend of Bhagat Singh,"['Sushant Singh', 'Rajkumar Santoshi', 'Akhilendra Mishra', 'A. R. Rahman', 'K. V. Anand', 'Nitin Chandrakant Desai']"
