Charc,Movie,NewChar
",Kangana Ranaut,Konkana Sen Sharma,R. Madhavan,Jimmy Shergill,Deepak Dobriyal,Shahid Kapoor",Tanu Weds Manu,"['Kangana Ranaut', 'Konkana Sen Sharma', 'R. Madhavan', 'Jimmy Shergill', 'Deepak Dobriyal', 'Shahid Kapoor']"
",Kareena Kapoor,Tusshar Kapoor,Vashu Bhagnani,Mallika Sherawat,Vijayendra Ghatge",Jeena Sirf Merre Liye,"['Kareena Kapoor', 'Tusshar Kapoor', 'Vashu Bhagnani', 'Mallika Sherawat', 'Vijayendra Ghatge']"
",Sushmita Sen,Anand Raj Anand,Mohan,Rakesh Roshan,Anupam Kher,David Dhawan,Satish Kaushik,Ashish Vidyarthi,Laxmikant Berde",Kyo Kii Main Jhuth Nahin Bolta,"['Sushmita Sen', 'Anand Raj Anand', 'Mohan', 'Rakesh Roshan', 'Anupam Kher', 'David Dhawan', 'Satish Kaushik', 'Ashish Vidyarthi', 'Laxmikant Berde']"
",Yash Chopra,Salman Khan,Sanjay Dutt,Balwinder Sandhu,Shahrukh Khan",Son Of Sardaar,"['Yash Chopra', 'Salman Khan', 'Sanjay Dutt', 'Balwinder Sandhu', 'Shahrukh Khan']"
",Shyam Benegal,Rajeshwari Sachdev,Shabana Azmi,Rajit Kapur,Surekha Sikri",Hari-Bhari,"['Shyam Benegal', 'Rajeshwari Sachdev', 'Shabana Azmi', 'Rajit Kapur', 'Surekha Sikri']"
",Manoj Kumar,Prem Chopra",Kalyug Aur Ramayan,"['Manoj Kumar', 'Prem Chopra']"
",Sanjay Leela Bhansali,Priyanka Chopra,Deepika Padukone,Shabana Azmi,Balaji Baji Rao,Milind Soman",Bajirao Mastani,"['Sanjay Leela Bhansali', 'Priyanka Chopra', 'Deepika Padukone', 'Shabana Azmi', 'Balaji Baji Rao', 'Milind Soman']"
",Hrithik Roshan,Sanjay Gadhvi,Yash Chopra,Bipasha Basu,Uday Chopra,Abhishek Bachchan,Aditya Chopra",Dhoom 2,"['Hrithik Roshan', 'Sanjay Gadhvi', 'Yash Chopra', 'Bipasha Basu', 'Uday Chopra', 'Abhishek Bachchan', 'Aditya Chopra']"
",Sunil Dutt,Feroz Khan",Geeta Mera Naam,"['Sunil Dutt', 'Feroz Khan']"
",Majrooh Sultanpuri,Durga,R.D. Burman,Danny Denzongpa,Durga Khote,Feroz Khan,Ravikant Nagaich,Farida Jalal,Asha Bhosle,Keshto Mukherjee,Prem Chopra,Parveen Babi",Kala Sona,"['Majrooh Sultanpuri', 'Durga', 'R.D. Burman', 'Danny Denzongpa', 'Durga Khote', 'Feroz Khan', 'Ravikant Nagaich', 'Farida Jalal', 'Asha Bhosle', 'Keshto Mukherjee', 'Prem Chopra', 'Parveen Babi']"
",Karan Singh Grover,Karan Wahi",Jyoti,"['Karan Singh Grover', 'Karan Wahi']"
",Chunky Pandey,Kiran Kumar,Reema Lagoo,Laxmikant Berde,Rajendranath Zutshi,Tanushree Dutta,Rajpal Yadav,Tusshar Kapoor",Parda Hai Parda,"['Chunky Pandey', 'Kiran Kumar', 'Reema Lagoo', 'Laxmikant Berde', 'Rajendranath Zutshi', 'Tanushree Dutta', 'Rajpal Yadav', 'Tusshar Kapoor']"
",Kalpana Chawla",Kurukshetra,['Kalpana Chawla']
",Coco Chanel,Vivienne Westwood,Albrecht Dürer,Fernand Braudel,Pierre Cardin,Abraham Bosse,Ziryab",Fashion,"['Coco Chanel', 'Vivienne Westwood', 'Albrecht Dürer', 'Fernand Braudel', 'Pierre Cardin', 'Abraham Bosse', 'Ziryab']"
